Date,Date,Close Price,Price Difference Class
2018-04-11 00:00:00,2018-04-11 00:00:00,6848.28,0
2018-04-11 01:00:00,2018-04-11 01:00:00,6838.66,1
2018-04-11 02:00:00,2018-04-11 02:00:00,6840.62,0
2018-04-11 03:00:00,2018-04-11 03:00:00,6824.56,1
2018-04-11 04:00:00,2018-04-11 04:00:00,6831.25,1
2018-04-11 05:00:00,2018-04-11 05:00:00,6839.79,1
2018-04-11 06:00:00,2018-04-11 06:00:00,6842.95,1
2018-04-11 07:00:00,2018-04-11 07:00:00,6846.6,1
2018-04-11 08:00:00,2018-04-11 08:00:00,6859.06,0
2018-04-11 09:00:00,2018-04-11 09:00:00,6856.93,0
2018-04-11 10:00:00,2018-04-11 10:00:00,6836.69,1
2018-04-11 11:00:00,2018-04-11 11:00:00,6859.07,0
2018-04-11 12:00:00,2018-04-11 12:00:00,6857.35,1
2018-04-11 13:00:00,2018-04-11 13:00:00,6935.72,0
2018-04-11 14:00:00,2018-04-11 14:00:00,6934.83,0
2018-04-11 15:00:00,2018-04-11 15:00:00,6934.8,0
2018-04-11 16:00:00,2018-04-11 16:00:00,6920.98,0
2018-04-11 17:00:00,2018-04-11 17:00:00,6898.3,1
2018-04-11 18:00:00,2018-04-11 18:00:00,6902.76,1
2018-04-11 19:00:00,2018-04-11 19:00:00,6912.71,0
2018-04-11 20:00:00,2018-04-11 20:00:00,6889.21,1
2018-04-11 21:00:00,2018-04-11 21:00:00,6900.52,1
2018-04-11 22:00:00,2018-04-11 22:00:00,6918.94,1
2018-04-11 23:00:00,2018-04-11 23:00:00,6938.65,0
2018-04-12 00:00:00,2018-04-12 00:00:00,6925.34,1
2018-04-12 01:00:00,2018-04-12 01:00:00,6925.84,1
2018-04-12 02:00:00,2018-04-12 02:00:00,6938.0,1
2018-04-12 03:00:00,2018-04-12 03:00:00,6941.64,1
2018-04-12 04:00:00,2018-04-12 04:00:00,6959.19,0
2018-04-12 05:00:00,2018-04-12 05:00:00,6941.89,0
2018-04-12 06:00:00,2018-04-12 06:00:00,6788.97,1
2018-04-12 07:00:00,2018-04-12 07:00:00,6828.87,1
2018-04-12 08:00:00,2018-04-12 08:00:00,6840.78,1
2018-04-12 09:00:00,2018-04-12 09:00:00,6852.25,1
2018-04-12 10:00:00,2018-04-12 10:00:00,6938.08,1
2018-04-12 11:00:00,2018-04-12 11:00:00,7744.46,0
2018-04-12 12:00:00,2018-04-12 12:00:00,7710.68,0
2018-04-12 13:00:00,2018-04-12 13:00:00,7693.9,0
2018-04-12 14:00:00,2018-04-12 14:00:00,7658.72,0
2018-04-12 15:00:00,2018-04-12 15:00:00,7614.84,0
2018-04-12 16:00:00,2018-04-12 16:00:00,7588.73,1
2018-04-12 17:00:00,2018-04-12 17:00:00,7687.3,1
2018-04-12 18:00:00,2018-04-12 18:00:00,7693.47,0
2018-04-12 19:00:00,2018-04-12 19:00:00,7685.11,1
2018-04-12 20:00:00,2018-04-12 20:00:00,7726.86,1
2018-04-12 21:00:00,2018-04-12 21:00:00,7825.32,1
2018-04-12 22:00:00,2018-04-12 22:00:00,7847.5,1
2018-04-12 23:00:00,2018-04-12 23:00:00,7914.54,0
2018-04-13 00:00:00,2018-04-13 00:00:00,7891.92,0
2018-04-13 01:00:00,2018-04-13 01:00:00,7780.79,1
2018-04-13 02:00:00,2018-04-13 02:00:00,7877.58,0
2018-04-13 03:00:00,2018-04-13 03:00:00,7834.09,0
2018-04-13 04:00:00,2018-04-13 04:00:00,7827.51,0
2018-04-13 05:00:00,2018-04-13 05:00:00,7794.57,1
2018-04-13 06:00:00,2018-04-13 06:00:00,7818.19,1
