,Predicted Class,Time
0,1,2018-05-25 09:07:02
1,1,2018-05-25 09:05:01
2,1,2018-05-25 09:00:01
3,1,2018-05-25 03:23:14
4,1,2018-05-25 03:23:00
5,1,2018-05-25 01:01:26
6,1,2018-05-25 00:26:55
7,1,2018-05-24 20:27:57
8,1,2018-05-24 17:15:26
9,1,2018-05-24 12:53:34
10,1,2018-05-24 12:52:50
11,1,2018-05-24 12:45:52
12,1,2018-05-24 11:51:17
13,1,2018-05-24 11:16:30
14,1,2018-05-24 11:05:56
15,1,2018-05-24 10:34:56
16,1,2018-05-24 10:29:49
17,1,2018-05-24 10:26:41
18,1,2018-05-24 10:22:14
19,1,2018-05-24 09:48:57
20,1,2018-05-24 09:00:07
21,1,2018-05-24 07:05:56
22,1,2018-05-24 01:31:36
23,1,2018-05-24 00:58:25
24,1,2018-05-23 22:08:47
25,1,2018-05-23 20:40:31
26,1,2018-05-23 20:26:27
27,1,2018-05-23 20:22:01
28,1,2018-05-23 20:11:42
29,1,2018-05-23 19:55:02
30,1,2018-05-23 19:47:26
31,1,2018-05-23 19:42:30
32,1,2018-05-23 19:40:26
33,1,2018-05-23 19:39:03
34,1,2018-05-23 19:27:06
35,1,2018-05-23 19:21:08
36,1,2018-05-23 19:19:38
37,1,2018-05-23 19:12:10
38,1,2018-05-23 19:11:45
39,1,2018-05-23 19:10:06
40,1,2018-05-23 19:07:41
41,1,2018-05-23 19:02:26
42,1,2018-05-23 19:00:08
43,1,2018-05-23 18:56:40
44,1,2018-05-23 18:56:15
45,1,2018-05-23 16:04:15
46,1,2018-05-23 10:08:48
47,1,2018-05-23 10:01:25
48,1,2018-05-23 09:30:06
49,1,2018-05-23 09:05:01
50,1,2018-05-23 09:00:06
51,1,2018-05-22 23:50:13
52,1,2018-05-22 23:41:02
53,1,2018-05-22 23:30:19
54,1,2018-05-22 23:20:19
55,1,2018-05-22 23:10:11
56,1,2018-05-22 23:00:12
57,1,2018-05-22 09:05:01
58,1,2018-05-22 09:00:03
59,1,2018-05-22 07:00:36
60,1,2018-05-22 00:30:06
61,1,2018-05-21 23:00:03
62,1,2018-05-21 22:57:05
63,1,2018-05-21 22:22:42
64,1,2018-05-21 19:30:06
65,1,2018-05-21 12:43:04
66,1,2018-05-21 11:16:53
67,1,2018-05-21 11:01:10
68,1,2018-05-21 11:00:06
69,1,2018-05-21 09:05:01
70,1,2018-05-21 09:00:01
71,1,2018-05-21 08:52:47
72,1,2018-05-21 07:01:25
73,1,2018-05-21 07:00:07
74,1,2018-05-20 20:57:12
75,1,2018-05-20 20:05:11
76,1,2018-05-20 19:58:12
77,1,2018-05-20 19:49:11
78,1,2018-05-20 17:34:55
79,1,2018-05-20 17:30:06
80,1,2018-05-20 10:10:01
81,1,2018-05-20 10:04:19
82,1,2018-05-20 09:05:01
83,1,2018-05-20 09:00:08
84,1,2018-05-20 03:00:06
