tweet id,tweet_text,Time
9.92E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-03 22:05:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 20:14:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/mlPm5M2fgm
Join our Telegram commu…",2018-05-03 18:21:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-03 18:13:00
9.92E+17,"RT @PEP_Network: 🔥Only 3 days left🔥
🔔We want to announce that the Next AMA (Ask Me Anything) session will be organized at 10:30 UTC (which…",2018-05-03 17:26:00
9.92E+17,"RT @PEP_Network: 🔥Only 3 days left🔥
🔔We want to announce that the Next AMA (Ask Me Anything) session will be organized at 10:30 UTC (which…",2018-05-03 17:18:00
9.92E+17,"#crypto price changes last 4 hours

🚀
$GLD +30.65%
$DCT +11.88%
$BRX +10.59%

🌧️
$BRK -7.37%
$GNT -6.16%
$DOGE -3.0… https://t.co/PzZ9667x7H",2018-05-03 16:47:00
9.92E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-03 16:40:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-03 16:40:00
9.92E+17,"RT @PEP_Network: 🔥Only 3 days left🔥
🔔We want to announce that the Next AMA (Ask Me Anything) session will be organized at 10:30 UTC (which…",2018-05-03 14:50:00
9.92E+17,⬆ +10 IOTA Snatches Ninth Place from TRON and Approaches $3.00 https://t.co/mJokBfCNCK $MIOTA #iota $TRX #tron #cryptocurrency,2018-05-03 14:19:00
9.92E+17,#cryptocurrency #bitcoin up this morning $BTC 9424.00 at 10:00 EDT #Crypto #CryptoNews #markets #economy,2018-05-03 14:02:00
9.92E+17,RT @litenettcom: With an audience of 10 million per month (120 million per year) at a rate of € 3.0 per user - the profit will be € 360 000…,2018-05-03 13:56:00
9.92E+17,RT @litenettcom: With an audience of 10 million per month (120 million per year) at a rate of € 3.0 per user - the profit will be € 360 000…,2018-05-03 13:52:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-03 13:23:00
9.92E+17,"RT @airdropworlds: Airdrop 5000 people can get $10,00,000 worth of btcp
Crowdsale price is $0.12
✔️ Like and follow 
✔️ Retweet. Tag 5 your…",2018-05-03 12:02:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 11:57:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 11:53:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-03 10:25:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 10:23:00
9.92E+17,Crowdsale Phase 1 will begin in 5hours. Start 00:00 GMT+10 (Australia). Have you already monetize your investment?… https://t.co/VoPtjoIor0,2018-05-03 10:15:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-03 09:09:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 08:53:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-03 07:37:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-03 07:23:00
9.92E+17,"#Cryptos: 

#BTC 9252.40$ | 7739.73€
#XRP 0.86$ | 0.72€
#ETH 722.05$ | 604.00€
#LTC 153.13$ | 128.10€
#DASH 491.47$… https://t.co/l0AkYeSVO4",2018-05-03 05:43:00
9.92E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-03 05:19:00
9.92E+17,"#Cryptos: 

#BTC 9270.10$ | 7754.53€
#XRP 0.87$ | 0.73€
#ETH 724.83$ | 606.33€
#LTC 154.06$ | 128.87€
#DASH 486.54$… https://t.co/3LICJSb7Ss",2018-05-03 04:28:00
9.92E+17,BOUGHT [ #XRPBTC | #binance | Price: 0.00009276 | Time: 2018-05-03 02:10:00 ] Uptime: 148:12 | #BTC #XRP #trading #cryptocurrency #bitcoin,2018-05-03 02:10:00
9.92E+17,RT @litenettcom: With an audience of 10 million per month (120 million per year) at a rate of € 3.0 per user - the profit will be € 360 000…,2018-05-03 02:03:00
9.93E+17,"RT @PEP_Network: 🔥Only 3 days left🔥
🔔We want to announce that the Next AMA (Ask Me Anything) session will be organized at 10:30 UTC (which…",2018-05-04 22:56:00
9.92E+17,"#Cryptos: 

#BTC 9650.75$ | 8067.10€
#XRP 0.89$ | 0.75€
#ETH 777.24$ | 649.70€
#LTC 163.00$ | 136.26€
#DASH 483.14$… https://t.co/XnDhXdMjOJ",2018-05-04 19:37:00
9.92E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-04 19:23:00
9.92E+17,"Join me to get @Listia's new $XNK #cryptocurrency for free! Use code ""CLWYCV"" for an extra 25 XNK. Just got this wi… https://t.co/5viuEDAcV0",2018-05-04 19:14:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-04 18:51:00
9.92E+17,"#crypto price changes last 4 hours

🚀
$POLY +6.50%
$EXP +6.03%
$ZRX +5.47%

🌧️
$WAX -10.00%
$RCN -7.48%
$ZCL -6.65%… https://t.co/HOYLOAYBWH",2018-05-04 16:47:00
9.92E+17,"RT @bcnews34: В Санкт-Петербурге открылся первый криптобутик «КриптоЮниверс»
Расположился бутик на втором этаже ТРЦ Питерлэнд по адресу При…",2018-05-04 15:21:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-04 15:07:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/mlPm5M2fgm
Join our Telegram commu…",2018-05-04 15:07:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/mlPm5M2fgm
Join our Telegram commu…",2018-05-04 15:05:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-04 13:37:00
9.92E+17,"APO - Advanced Parimutuel Options ICO Starts: April 25, 10:00 am UTC #APOFinance #ICO #Ethereum #Blockchain #Cryptocurrency",2018-05-04 13:22:00
9.92E+17,RT @litenettcom: With an audience of 10 million per month (120 million per year) at a rate of € 3.0 per user - the profit will be € 360 000…,2018-05-04 12:30:00
9.92E+17,"RT @PEP_Network: 🔥Only 3 days left🔥
🔔We want to announce that the Next AMA (Ask Me Anything) session will be organized at 10:30 UTC (which…",2018-05-04 11:25:00
9.92E+17,"#CryptoCurrency prices (4 May PM - 24h):

#Bitcoin: $9,711.20 (+5.32%)
#Ethereum: $794.97 (+10.50%)
#Ripple: $0.904… https://t.co/s7fv4tt1yD",2018-05-04 11:06:00
9.92E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-04 10:32:00
9.92E+17,"В Санкт-Петербурге открылся первый криптобутик «КриптоЮниверс»
Расположился бутик на втором этаже ТРЦ Питерлэнд по… https://t.co/j33863FTAp",2018-05-04 09:32:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-04 08:50:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC 🚀
Register now: https://t.co/WvI1G4dfZC

#tihosay #ICO #blockchain #Crypto…",2018-05-04 07:04:00
9.92E+17,"RT @tihosay: 🚀 Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/mlPm5M2fgm
Join our Telegram commu…",2018-05-04 06:47:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-04 06:29:00
9.92E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-04 03:36:00
9.92E+17,Nano made $ 10.00 https://t.co/bK6GNBDDu8 #Nano $NANO #cryptocurrency https://t.co/v0SBUekASy,2018-05-04 02:15:00
9.92E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-04 00:10:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 23:45:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 21:24:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.67 % || 10-05-2018 23:00
Price in #USD : 0… https://t.co/DcGAMueFtU",2018-05-10 21:00:00
9.95E+17,"#crypto price changes last hour

🚀
$EBST +3.26%
$DCR +3.04%
$XMG +3.00%

🌧️
$BLT -10.48%
$CRW -6.18%
$DOPE -5.24%

#bitcoin #cryptocurrency",2018-05-10 20:01:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -1.17 % || 10-05-2018 22:00
Price in #USD… https://t.co/vKGPCJd3JV",2018-05-10 20:00:00
9.95E+17,"@Peurtoken Crowdsale Phase 1 will begin in 5hours. Start 00:00 GMT+10 (Australia). Have
you already monetize your i… https://t.co/ubIXPLTikl",2018-05-10 19:59:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 19:58:00
9.95E+17,"Анализ рынка криптовалют на 10 мая 2018

К сожалению большинства инвесторов, вчерашний рост криптовалютного рынка н… https://t.co/F3uhiyzrzT",2018-05-10 19:10:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.59 % || 10-05-2018 21:00
Price in #USD… https://t.co/9pvXX44ytX",2018-05-10 19:00:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -2.35 % || 10-05-2018 20:00
Price in #USD… https://t.co/JIdV8Rdnb4",2018-05-10 18:00:00
9.95E+17,"RT @FintruX: $FTX is scheduled to be listed on https://t.co/P49b5sovXY to start the second wave of exchanges! 
Deposits starts: May 10th 10…",2018-05-10 17:16:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.68 % || 10-05-2018 19:00
Price in #USD… https://t.co/KvPz2JVDuR",2018-05-10 17:00:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 16:32:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬆️
Last Hour Change : 1.18 % || 10-05-2018 18:00
Price in #USD :… https://t.co/Mazf1mK7JR",2018-05-10 16:00:00
9.95E+17,"RT @CryptoPriceCall: $BTC : -0.19%📉 9313$
Top (last h):
$ADI : +43.75%📈 702st
$VIPS : +13.98%📈 8st
$VEE : +10.51%📈 528st
$RIYA : +9.00%📈 69…",2018-05-10 15:42:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 15:10:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.01 % || 10-05-2018 17:00
Price in #USD : 0… https://t.co/I9fp7oA4E5",2018-05-10 15:00:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.14 % || 10-05-2018 16:00
Price in #USD… https://t.co/8iXRER7gF7",2018-05-10 14:00:00
9.95E+17,"#Cryptos: 

#BTC 9372.14$ | 7882.64€
#XRP 0.80$ | 0.68€
#ETH 764.62$ | 643.10€
#LTC 158.13$ | 133.00€
#DASH 454.85$… https://t.co/jbddJxgVlA",2018-05-10 13:28:00
9.95E+17,"RT @Bitcoin2140com: #CryptoCurrency prices (10 May - 24h):

#Bitcoin: $9,341.90 (+0.88%)
#Ethereum: $761.66 (+1.89%)
#Ripple: $0.7942 (-0.3…",2018-05-10 13:11:00
9.95E+17,"1 Bitcoin ( #BTC )
Dollar: 9327.25$ 

1 Bitcoin Cash ( #BCH )
Dollar: 1,647.41$ 

1 Ethereum ( #ETH )
Dollar: 759.0… https://t.co/I4a6Ls7siM",2018-05-10 13:10:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.52 % || 10-05-2018 15:00
Price in #USD… https://t.co/vBBdVhhQ2B",2018-05-10 13:00:00
9.95E+17,"#CryptoCurrency prices (10 May - 24h):

#Bitcoin: $9,341.90 (+0.88%)
#Ethereum: $761.66 (+1.89%)
#Ripple: $0.7942 (… https://t.co/9vaS6tUuY2",2018-05-10 12:56:00
9.95E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-10 12:20:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.58 % || 10-05-2018 14:00
Price in #USD : 0… https://t.co/8SNP1kvahg",2018-05-10 12:00:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.28 % || 10-05-2018 13:00
Price in #USD : 0… https://t.co/bipC6H5wPu",2018-05-10 11:00:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 10:56:00
